ID,variable1,variable2,variable3,variable4,variable5
129,3,6.4,2.8,5.6,2.1
130,3,7.2,3,5.8,1.6
131,3,7.4,2.8,6.1,1.9
132,3,7.9,3.8,6.4,2
133,3,6.4,2.8,5.6,2.2
134,3,6.3,2.8,5.1,1.5
135,3,6.1,2.6,5.6,1.4
136,3,7.7,3,6.1,2.3
137,3,6.3,3.4,5.6,2.4
138,3,6.4,3.1,5.5,1.8
139,3,6,3,4.8,1.8
140,3,6.9,3.1,5.4,2.1
141,3,6.7,3.1,5.6,2.4
142,3,6.9,3.1,5.1,2.3
143,3,5.8,2.7,5.1,1.9
144,3,6.8,3.2,5.9,2.3
145,3,6.7,3.3,5.7,2.5
146,3,6.7,3,5.2,2.3
147,3,6.3,2.5,5,1.9
148,3,6.5,3,5.2,2
149,3,6.2,3.4,5.4,2.3
150,3,5.9,3,5.1,1.8
